,Unnamed: 0,City,Lat,Lng,Max Temp,Humidity,Wind Speed,Country,Date,Cloudiness,Hotel Name
90,90,magaria,12.9983,8.9099,85.39,8,15.66,NE,1645373642,2,Willoughby Arms Ltd
91,91,ginir,7.1333,40.7,71.87,25,4.07,ET,1645373642,44,Willoughby Arms Ltd
93,93,turkistan,43.0,68.0,48.74,46,7.92,KZ,1645373339,11,Willoughby Arms Ltd
94,94,narsaq,60.9167,-46.05,5.41,74,2.59,GL,1645373450,7,Willoughby Arms Ltd
95,95,atlantic city,39.3643,-74.4229,31.01,38,3.44,US,1645373703,0,Willoughby Arms Ltd
98,98,russell,32.3502,-85.1999,54.34,36,4.61,US,1645373704,0,Willoughby Arms Ltd
100,100,kavaratti,10.5669,72.642,81.57,67,4.43,IN,1645373705,7,Willoughby Arms Ltd
102,102,nouakchott,18.0858,-15.9785,91.33,29,10.4,MR,1645373706,20,Willoughby Arms Ltd
103,103,dolgoye,52.8,37.2167,25.65,92,8.32,RU,1645373706,26,Willoughby Arms Ltd
105,105,nanortalik,60.1432,-45.2371,15.53,56,19.82,GL,1645373707,33,Willoughby Arms Ltd
108,108,tikaitnagar,26.95,81.5833,59.14,50,3.36,IN,1645373708,0,Willoughby Arms Ltd
109,109,salalah,17.0151,54.0924,75.29,69,6.91,OM,1645373614,20,Willoughby Arms Ltd
110,110,barkhan,29.8977,69.5256,62.49,23,11.54,PK,1645373708,0,Willoughby Arms Ltd
111,111,makakilo city,21.3469,-158.0858,68.74,79,8.05,US,1645373521,0,Willoughby Arms Ltd
112,112,kodiak,57.79,-152.4072,33.31,86,4.61,US,1645373709,0,Willoughby Arms Ltd
113,113,salinopolis,-0.6136,-47.3561,84.87,66,8.23,BR,1645373709,37,Willoughby Arms Ltd
120,120,champerico,14.3,-91.9167,88.38,57,4.09,GT,1645373712,3,Willoughby Arms Ltd
122,122,virginia beach,36.8529,-75.97800000000001,38.71,43,4.61,US,1645373712,20,Willoughby Arms Ltd
125,125,puerto el triunfo,13.2833,-88.55,89.69,39,4.92,SV,1645373713,5,Willoughby Arms Ltd
126,126,visby,57.6409,18.296,30.42,86,6.91,SE,1645373714,0,Willoughby Arms Ltd
130,130,beyneu,45.3167,55.2,45.39,49,6.89,KZ,1645373715,7,Willoughby Arms Ltd
131,131,egvekinot,66.3167,-179.1667,-24.57,87,11.74,RU,1645373716,10,Willoughby Arms Ltd
